,True_index,Store_ID,Day_of_week,Date,Nb_customers_on_day,Open,Promotion,State_holiday,School_holiday
0,7,764,4,2013-12-26,0,0,0,c,1
1,19,22,3,2013-05-22,449,1,0,0,1
2,31,1087,6,2013-06-29,622,1,0,0,0
3,45,139,6,2013-08-17,314,1,0,0,0
4,56,568,1,2014-04-07,356,1,0,0,0
5,57,1056,6,2015-06-20,522,1,0,0,0
6,61,12,3,2014-12-31,609,1,0,0,1
7,63,76,1,2014-06-23,882,1,0,0,0
8,79,605,4,2013-10-17,448,1,0,0,0
9,81,820,6,2013-11-23,996,1,0,0,0
10,84,481,2,2013-05-07,330,1,0,0,0
11,86,871,6,2015-02-21,618,1,0,0,0
12,90,272,4,2015-02-26,556,1,0,0,0
13,96,1047,3,2013-08-14,546,1,1,0,1
14,105,581,7,2015-07-05,0,0,0,0,0
15,108,391,1,2014-08-11,715,1,0,0,1
16,124,779,1,2014-12-22,1466,1,0,0,1
17,126,350,6,2014-07-05,553,1,0,0,0
18,133,859,3,2013-01-09,669,1,1,0,0
19,146,241,5,2014-10-17,672,1,0,0,1
20,151,738,6,2014-11-01,0,0,0,a,0
21,160,599,3,2013-09-25,775,1,1,0,0
22,164,216,5,2013-07-19,863,1,1,0,0
23,167,464,2,2014-09-30,1142,1,1,0,0
24,190,957,7,2015-05-31,0,0,0,0,0
25,194,313,5,2013-06-14,790,1,0,0,0
26,206,1105,1,2013-12-16,979,1,1,0,0
27,214,932,7,2015-05-24,0,0,0,0,0
28,217,1046,2,2015-04-14,741,1,1,0,0
29,220,479,2,2015-05-12,1230,1,0,0,0
30,221,353,5,2015-07-10,1788,1,0,0,0
31,225,338,2,2013-12-10,632,1,0,0,0
32,226,220,5,2014-10-17,527,1,0,0,1
33,232,992,2,2014-04-01,877,1,1,0,0
34,250,120,3,2013-02-27,579,1,0,0,0
35,264,169,2,2013-08-06,670,1,0,0,1
36,269,999,3,2015-05-27,554,1,0,0,0
37,271,878,4,2014-05-15,763,1,0,0,0
38,280,995,4,2015-02-19,759,1,1,0,1
39,281,583,7,2014-03-23,0,0,0,0,0
40,284,219,1,2013-09-02,485,1,0,0,1
41,302,14,1,2014-07-14,718,1,1,0,1
42,323,54,4,2014-07-24,612,1,0,0,1
43,327,264,7,2013-10-20,0,0,0,0,0
44,336,37,2,2013-07-23,581,1,0,0,1
45,351,714,5,2013-09-13,337,1,1,0,0
46,377,889,5,2014-04-04,582,1,1,0,0
47,382,508,6,2013-08-24,439,1,0,0,0
48,388,982,4,2014-04-03,718,1,1,0,0
49,392,776,7,2015-01-18,0,0,0,0,0
50,402,856,7,2014-12-14,0,0,0,0,0
51,408,367,4,2015-03-05,616,1,1,0,0
52,427,265,3,2014-12-17,598,1,1,0,0
53,466,1065,7,2013-03-17,0,0,0,0,0
54,469,128,7,2013-05-05,0,0,0,0,0
55,472,773,4,2013-10-03,0,0,0,a,0
56,477,923,7,2015-07-05,0,0,0,0,0
57,508,596,6,2014-08-02,743,1,0,0,0
58,513,394,1,2014-09-01,828,1,1,0,1
59,516,154,3,2015-04-08,672,1,0,0,1
60,530,66,2,2013-03-12,445,1,0,0,0
61,558,13,1,2013-11-11,291,1,0,0,0
62,576,560,3,2014-07-30,1657,1,1,0,1
63,588,11,1,2013-09-02,1105,1,0,0,0
64,595,367,2,2015-02-17,571,1,1,0,0
65,600,146,2,2013-04-16,554,1,0,0,0
66,601,504,2,2014-11-04,1064,1,1,0,1
67,609,1113,3,2014-10-29,588,1,0,0,0
68,612,154,3,2013-09-04,562,1,0,0,0
69,615,199,3,2013-07-03,619,1,1,0,0
70,625,159,3,2015-03-11,520,1,0,0,0
71,632,1086,7,2014-02-23,0,0,0,0,0
72,645,1061,3,2015-04-22,479,1,0,0,0
73,666,1006,4,2014-01-02,862,1,0,0,1
74,668,504,2,2013-09-03,925,1,0,0,0
75,672,1066,3,2014-08-06,1051,1,1,0,1
76,699,470,5,2014-05-30,2138,1,0,0,0
77,717,641,4,2014-11-13,539,1,1,0,0
78,737,397,6,2013-06-29,623,1,0,0,0
79,744,248,5,2013-08-23,1083,1,0,0,0
80,747,262,4,2015-03-26,2794,1,0,0,0
81,764,679,4,2013-01-03,937,1,0,0,1
82,775,1001,5,2014-01-10,719,1,1,0,0
83,788,46,7,2015-04-19,0,0,0,0,0
84,795,905,3,2013-09-04,1325,1,0,0,0
85,802,593,1,2015-05-11,1263,1,0,0,0
86,811,773,3,2013-07-31,997,1,1,0,1
87,840,784,5,2014-09-05,1064,1,1,0,0
88,849,552,1,2013-01-07,1117,1,1,0,1
89,859,723,6,2015-05-09,773,1,0,0,0
90,871,306,7,2013-04-14,0,0,0,0,0
91,872,593,1,2014-09-29,1426,1,1,0,0
92,881,240,1,2014-03-10,471,1,0,0,0
93,883,1113,4,2013-06-20,796,1,1,0,0
94,890,393,2,2014-06-10,538,1,0,0,1
95,896,929,2,2015-07-28,680,1,1,0,1
96,902,668,5,2015-04-03,0,0,1,b,1
97,905,69,6,2015-05-09,1200,1,0,0,0
98,921,691,1,2013-01-21,747,1,1,0,0
99,967,36,6,2015-05-16,1085,1,0,0,0
100,973,955,5,2014-08-08,566,1,1,0,1
101,1001,110,3,2014-01-29,453,1,0,0,0
102,1016,330,7,2015-03-08,0,0,0,0,0
103,1021,205,2,2015-06-02,1027,1,1,0,0
104,1026,365,6,2013-08-24,533,1,0,0,0
105,1030,951,5,2013-08-02,681,1,1,0,1
106,1044,1002,6,2014-07-19,648,1,0,0,0
107,1063,82,5,2014-11-14,979,1,1,0,0
108,1067,882,5,2015-06-05,932,1,1,0,0
109,1075,187,1,2015-01-12,848,1,1,0,0
110,1086,452,4,2014-12-25,0,0,0,c,1
111,1097,1047,4,2014-10-30,539,1,0,0,0
112,1117,7,1,2014-06-02,1272,1,1,0,0
113,1122,231,3,2013-01-09,390,1,1,0,0
114,1125,8,3,2015-04-29,832,1,1,0,0
115,1129,474,1,2014-02-24,649,1,0,0,0
116,1141,572,1,2015-02-23,529,1,0,0,0
117,1149,770,7,2014-03-30,0,0,0,0,0
118,1151,451,6,2013-03-16,454,1,0,0,0
119,1159,317,1,2014-01-20,573,1,1,0,0
120,1173,1011,2,2014-07-22,849,1,0,0,1
121,1184,1095,7,2015-06-07,0,0,0,0,0
122,1193,391,1,2013-06-10,721,1,0,0,0
123,1241,1070,2,2014-01-28,712,1,0,0,0
124,1249,304,7,2015-02-01,0,0,0,0,0
125,1250,246,6,2014-03-01,871,1,0,0,0
126,1261,971,7,2014-12-28,0,0,0,0,0
127,1273,528,1,2014-01-27,743,1,0,0,0
128,1282,696,5,2015-04-03,0,0,1,b,0
129,1296,1058,6,2014-11-29,751,1,0,0,0
130,1309,73,6,2015-05-30,258,1,0,0,0
131,1332,484,2,2015-02-10,575,1,0,0,0
132,1336,1002,6,2014-11-01,758,1,0,0,0
133,1357,556,2,2013-10-15,688,1,0,0,0
134,1372,227,2,2014-05-20,580,1,1,0,0
135,1374,300,6,2013-09-21,787,1,0,0,0
136,1378,863,2,2014-09-16,1150,1,1,0,0
137,1379,332,1,2013-02-11,548,1,0,0,0
138,1384,753,5,2014-09-05,895,1,1,0,0
139,1394,538,2,2013-03-26,633,1,1,0,1
140,1398,897,2,2013-10-01,276,1,0,0,0
141,1399,418,2,2014-04-22,546,1,0,0,1
142,1403,116,5,2014-09-19,760,1,1,0,0
143,1409,768,6,2014-09-20,1192,1,0,0,0
144,1424,1065,4,2014-01-02,512,1,0,0,1
145,1430,670,6,2014-06-07,678,1,0,0,0
146,1432,325,3,2015-01-21,524,1,0,0,0
147,1448,1113,3,2013-09-25,614,1,1,0,0
148,1451,940,1,2015-07-27,936,1,1,0,1
149,1452,591,1,2013-05-13,668,1,1,0,0
150,1467,340,7,2015-05-31,0,0,0,0,0
151,1470,249,3,2013-04-24,491,1,1,0,0
152,1481,754,4,2014-11-27,1036,1,1,0,0
153,1523,879,4,2013-09-19,314,1,0,0,0
154,1527,1001,4,2013-07-11,619,1,0,0,0
155,1546,433,4,2015-02-26,577,1,0,0,0
156,1547,11,3,2013-12-04,1584,1,1,0,0
157,1567,3,1,2013-10-28,491,1,0,0,1
158,1592,853,3,2013-08-14,1027,1,1,0,1
159,1597,469,6,2014-02-22,1658,1,0,0,0
